ID,title,rank
p1111111-1111-1111-1111-111111111111,Navigator,3
p2222222-2222-2222-2222-222222222222,Stardust Analyst,2
p3333333-3333-3333-3333-333333333333,Captain,5
p4444444-4444-4444-4444-444444444444,Cadet,1
p0000005-0005-0005-0005-000000000005,Quantum Pilot,4
p0000006-0006-0006-0006-000000000006,Security Marshal,4
p0000007-0007-0007-0007-000000000007,Nebula Scientist,3
p0000008-0008-0008-0008-000000000008,Rescue Specialist,3
p0000009-0009-0009-0009-000000000009,Terraforming Engineer,4
p0000010-0010-0010-0010-000000000010,Mining Coordinator,3
p0000011-0011-0011-0011-000000000011,Starship Mechanic,2
p0000012-0012-0012-0012-000000000012,Signal Officer,2
p0000013-0013-0013-0013-000000000013,Survey Commander,4
p0000014-0014-0014-0014-000000000014,Gravity Technician,3
p0000015-0015-0015-0015-000000000015,Temporal Analyst,4
p0000016-0016-0016-0016-000000000016,Diplomatic Envoy,5
p0000017-0017-0017-0017-000000000017,Hyperdrive Architect,5
p0000018-0018-0018-0018-000000000018,Stellar Cartographer,3
p0000019-0019-0019-0019-000000000019,Defense Strategist,4
p0000020-0020-0020-0020-000000000020,Cryo Engineer,3
p0000021-0021-0021-0021-000000000021,Spaceport Director,5
p0000022-0022-0022-0022-000000000022,Medical Officer,4
p0000023-0023-0023-0023-000000000023,Probe Pilot,2
p0000024-0024-0024-0024-000000000024,Void Ranger,4
